2025-08-13 12:56:17.852 | INFO     | __main__:main:29 - 开始加载数据...
2025-08-13 12:56:30.713 | INFO     | __main__:main:37 - 数据加载完成。开始预处理...
2025-08-13 12:56:45.482 | INFO     | __main__:main:29 - 开始加载数据...
2025-08-13 12:56:56.445 | INFO     | __main__:main:37 - 数据加载完成。开始预处理...
2025-08-13 12:57:24.446 | INFO     | __main__:main:29 - 开始加载数据...
2025-08-13 12:57:34.775 | INFO     | __main__:main:37 - 数据加载完成。开始预处理...
2025-08-13 12:58:04.303 | INFO     | __main__:main:29 - 开始加载数据...
2025-08-13 12:58:14.672 | INFO     | __main__:main:37 - 数据加载完成。开始预处理...
2025-08-13 12:58:31.158 | INFO     | __main__:main:29 - 开始加载数据...
2025-08-13 12:58:41.644 | INFO     | __main__:main:37 - 数据加载完成。开始预处理...
2025-08-13 12:59:08.524 | INFO     | __main__:main:29 - 开始加载数据...
2025-08-13 12:59:19.414 | INFO     | __main__:main:37 - 数据加载完成。开始预处理...
2025-08-13 12:59:21.447 | INFO     | __main__:main:42 - 预处理完成。开始合并数据...
2025-08-13 12:59:21.456 | INFO     | __main__:main:46 - 数据合并完成。最终数据有 8765 条记录。
2025-08-13 12:59:21.520 | INFO     | __main__:main:54 - 处理后的数据已保存到: /Users/kaizheng/Desktop/gemini/agent_power_trading/data/aexp/processed_data.csv
2025-08-13 14:44:45.413 | INFO     | __main__:train_price_predictor:32 - 开始电价预测器训练流程...
2025-08-13 14:44:45.414 | INFO     | __main__:train_price_predictor:44 - 从 /Users/kaizheng/Desktop/gemini/agent_power_trading/data/aexp/final_dataset.csv 加载处理过的数据...
2025-08-13 14:44:45.885 | INFO     | __main__:train_price_predictor:56 - 分离特征和目标变量...
2025-08-13 14:44:45.899 | INFO     | __main__:train_price_predictor:62 - 对特征进行缩放...
2025-08-13 14:44:45.932 | INFO     | __main__:train_price_predictor:69 - 缩放器已保存到 /Users/kaizheng/Desktop/gemini/agent_power_trading/models/scaler.pkl
2025-08-13 14:44:45.933 | INFO     | __main__:train_price_predictor:72 - 创建序列数据...
2025-08-13 14:44:46.413 | INFO     | __main__:train_price_predictor:98 - 划分训练集和测试集...
2025-08-13 14:44:47.672 | INFO     | __main__:train_price_predictor:101 - 训练集大小: 27936, 测试集大小: 6985
2025-08-13 14:44:47.673 | INFO     | src.model.price_predictor:__init__:34 - Using device: cpu
2025-08-13 14:44:48.627 | INFO     | src.model.price_predictor:train:49 - Starting model training...
2025-08-13 14:44:59.436 | INFO     | src.model.price_predictor:train:64 - Epoch [1/20], Loss: 59233.6504
2025-08-13 14:46:41.021 | INFO     | __main__:train_price_predictor:32 - 开始电价预测器训练流程...
2025-08-13 14:46:41.022 | INFO     | __main__:train_price_predictor:44 - 从 /Users/kaizheng/Desktop/gemini/agent_power_trading/data/aexp/final_dataset.csv 加载处理过的数据...
2025-08-13 14:46:41.527 | INFO     | __main__:train_price_predictor:56 - 分离特征和目标变量...
2025-08-13 14:46:41.550 | INFO     | __main__:train_price_predictor:62 - 对特征进行缩放...
2025-08-13 14:46:41.597 | INFO     | __main__:train_price_predictor:69 - 缩放器已保存到 /Users/kaizheng/Desktop/gemini/agent_power_trading/models/scaler.pkl
2025-08-13 14:46:41.597 | INFO     | __main__:train_price_predictor:72 - 创建序列数据...
2025-08-13 14:46:41.993 | INFO     | __main__:train_price_predictor:98 - 划分训练集和测试集...
2025-08-13 14:46:42.900 | INFO     | __main__:train_price_predictor:101 - 训练集大小: 27936, 测试集大小: 6985
2025-08-13 14:46:42.901 | INFO     | src.model.price_predictor:__init__:34 - Using device: cpu
2025-08-13 14:46:43.457 | INFO     | src.model.price_predictor:train:49 - Starting model training...
2025-08-13 14:46:54.139 | INFO     | src.model.price_predictor:train:64 - Epoch [1/20], Loss: 59472.0073
2025-08-13 14:49:47.237 | INFO     | __main__:train_price_predictor:32 - 开始电价预测器训练流程...
2025-08-13 14:49:47.237 | INFO     | __main__:train_price_predictor:44 - 从 /Users/kaizheng/Desktop/gemini/agent_power_trading/data/aexp/final_dataset.csv 加载处理过的数据...
2025-08-13 14:49:47.702 | INFO     | __main__:train_price_predictor:56 - 分离特征和目标变量...
2025-08-13 14:49:47.722 | INFO     | __main__:train_price_predictor:62 - 对特征进行缩放...
2025-08-13 14:49:47.761 | INFO     | __main__:train_price_predictor:69 - 缩放器已保存到 /Users/kaizheng/Desktop/gemini/agent_power_trading/models/scaler.pkl
2025-08-13 14:49:47.761 | INFO     | __main__:train_price_predictor:72 - 创建序列数据...
2025-08-13 14:49:48.192 | INFO     | __main__:train_price_predictor:98 - 划分训练集和测试集...
2025-08-13 14:49:49.298 | INFO     | __main__:train_price_predictor:101 - 训练集大小: 27936, 测试集大小: 6985
2025-08-13 14:49:49.299 | INFO     | src.model.price_predictor:__init__:34 - Using device: cpu
2025-08-13 14:49:49.802 | INFO     | src.model.price_predictor:train:49 - Starting model training...
2025-08-13 14:50:00.422 | INFO     | src.model.price_predictor:train:64 - Epoch [1/20], Loss: 59203.4180
2025-08-13 14:50:10.554 | INFO     | src.model.price_predictor:train:64 - Epoch [2/20], Loss: 45243.7078
